UDI,Product_ID,Type,Air_Temp,Process_Temp,Rotational_Speed,Torque,Tool_Wear,Machine_Failure,TWF,HDF,PWF,OSF,RNF,FFT_Max_Amplitude,FFT_Dominant_Peak
29,L47208,L,299.1,309.4,1439,44.2,82,0,0,0,0,0,0,65.19103322680932,24
30,L47209,L,299.0,309.4,1693,30.1,84,0,0,0,0,0,0,49.16553869444838,28
31,M14890,M,299.1,309.5,1339,48.2,86,0,0,0,0,0,0,40.895126468305364,23
32,L47211,L,299.0,309.4,1798,25.5,89,0,0,0,0,0,0,66.84609575607783,30
33,L47212,L,299.0,309.4,1419,48.3,91,0,0,0,0,0,0,54.64893550241912,24
34,L47213,L,298.9,309.3,1665,32.5,93,0,0,0,0,0,0,63.85116597413293,28
35,M14894,M,298.8,309.1,1559,34.7,95,0,0,0,0,0,0,65.92651954648782,26
36,M14895,M,298.8,309.2,1452,48.6,98,0,0,0,0,0,0,50.15249841860256,24
37,M14896,M,298.9,309.2,1581,36.7,101,0,0,0,0,0,0,47.95983346725617,27
38,L47217,L,298.8,309.1,1439,39.2,104,0,0,0,0,0,0,60.88259781459518,24
39,H29452,H,298.9,309.2,1379,50.7,106,0,0,0,0,0,0,55.69250826160198,23
40,L47219,L,298.8,309.1,1350,52.5,111,0,0,0,0,0,0,52.59676983393611,23
41,L47220,L,298.8,309.1,1362,45.4,113,0,0,0,0,0,0,61.34052020791555,23
42,L47221,L,298.8,309.1,1368,50.8,115,0,0,0,0,0,0,60.805353792159025,23
43,M14902,M,298.8,309.1,1368,49.1,117,0,0,0,0,0,0,61.17464716945807,23
44,H29457,H,298.8,309.2,1372,48.5,120,0,0,0,0,0,0,72.4741828112325,23
45,M14904,M,298.8,309.1,1472,47.5,125,0,0,0,0,0,0,55.26414140384486,25
46,L47225,L,298.8,309.1,1489,49.1,128,0,0,0,0,0,0,64.38235985451344,25
47,M14906,M,298.7,309.0,1843,25.8,130,0,0,0,0,0,0,68.8790690892303,31
48,L47227,L,298.8,309.1,1418,46.3,133,0,0,0,0,0,0,53.574148141240784,24
49,H29462,H,298.8,309.2,1425,53.9,135,0,0,0,0,0,0,67.34078046052848,24
50,M14909,M,298.9,309.2,1412,44.1,140,0,0,0,0,0,0,50.35905352311008,24
51,L47230,L,298.9,309.1,2861,4.6,143,1,0,0,1,0,0,255.68471169892987,45
52,L47231,L,298.9,309.1,1383,54.9,145,0,0,0,0,0,0,65.91212108050914,23
53,H29466,H,298.8,309.0,1497,43.8,147,0,0,0,0,0,0,67.47285627621949,25
54,L47233,L,298.7,309.0,1565,35.1,152,0,0,0,0,0,0,48.174469795493074,26
55,L47234,L,298.7,309.0,1691,30.1,154,0,0,0,0,0,0,52.30368807684941,28
56,L47235,L,298.8,309.1,1512,40.7,156,0,0,0,0,0,0,44.74508801555387,25
57,L47236,L,298.8,309.1,1477,42.4,158,0,0,0,0,0,0,62.06717964685294,25
58,L47237,L,298.8,309.1,1513,40.3,160,0,0,0,0,0,0,45.82582128459986,25
59,M14918,M,298.8,309.0,1661,29.5,162,0,0,0,0,0,0,62.352675133981556,28
60,L47239,L,298.8,309.1,1378,54.4,165,0,0,0,0,0,0,56.54179768464845,23
61,L47240,L,298.8,309.1,1393,52.6,167,0,0,0,0,0,0,54.0320707239792,23
62,M14921,M,298.8,309.0,1592,38.2,169,0,0,0,0,0,0,56.41329986467336,27
63,L47242,L,298.8,309.0,1829,22.9,172,0,0,0,0,0,0,51.301671434749316,31
64,M14923,M,298.9,309.0,1812,25.9,174,0,0,0,0,0,0,52.342476697446315,30
65,L47244,L,299.0,309.1,1523,38.6,177,0,0,0,0,0,0,43.20867230420962,26
66,L47245,L,299.0,309.1,1394,45.1,179,0,0,0,0,0,0,43.82077566433257,23
67,M14926,M,298.9,308.9,1679,28.7,181,0,0,0,0,0,0,59.47073372180519,28
68,H29481,H,298.8,308.9,1466,44.1,184,0,0,0,0,0,0,43.21388439150856,25
69,L47248,L,298.8,308.9,1527,32.4,189,0,0,0,0,0,0,59.229549041098345,26
70,L47249,L,298.9,309.0,1410,65.7,191,1,0,0,1,1,0,255.08188745131616,45
71,M14930,M,298.9,309.0,1924,22.6,193,0,0,0,0,0,0,55.335721406935626,32
72,L47251,L,298.9,309.1,1452,45.5,196,0,0,0,0,0,0,48.31568137403717,24
73,L47252,L,298.9,309.1,1369,44.4,198,0,0,0,0,0,0,69.13813486195122,23
74,L47253,L,299.0,309.1,1592,35.0,200,0,0,0,0,0,0,49.46636397691449,27
75,L47254,L,298.9,309.0,1601,32.3,202,0,0,0,0,0,0,61.247691489737655,27
76,L47255,L,298.8,308.9,1379,46.7,204,0,0,0,0,0,0,55.72600075282838,23
77,L47256,L,298.8,308.9,1461,47.9,206,0,0,0,0,0,0,40.491488394738454,24
78,L47257,L,298.8,308.9,1455,41.3,208,1,1,0,0,0,0,254.01244901236117,45
79,L47258,L,298.8,308.9,1398,51.5,0,0,0,0,0,0,0,46.998652438533895,23
80,L47259,L,298.8,308.9,1402,37.9,2,0,0,0,0,0,0,51.503864215284196,24
81,H29494,H,298.8,308.8,1445,49.9,4,0,0,0,0,0,0,50.07942283890504,24
82,L47261,L,298.9,308.9,1450,47.5,9,0,0,0,0,0,0,56.280982620936285,24
83,L47262,L,298.9,308.9,1453,40.8,11,0,0,0,0,0,0,49.93932486180727,24
84,L47263,L,299.0,309.0,1469,40.1,13,0,0,0,0,0,0,53.06407492923283,25
85,L47264,L,298.9,308.9,1422,47.6,15,0,0,0,0,0,0,65.92576093171432,24
86,M14945,M,299.0,309.0,1804,26.8,17,0,0,0,0,0,0,56.8755719745055,30
87,H29500,H,299.0,309.0,1436,43.9,20,0,0,0,0,0,0,63.770973652891,24
88,L47267,L,299.0,309.0,1544,31.8,25,0,0,0,0,0,0,63.047389316485635,26
89,M14948,M,299.0,309.0,1419,45.2,27,0,0,0,0,0,0,62.312010208620435,24
90,M14949,M,298.9,308.9,1487,39.5,30,0,0,0,0,0,0,68.01330437672677,25
91,L47270,L,298.9,308.9,1753,25.8,33,0,0,0,0,0,0,44.298419864958106,30
92,L47271,L,298.9,308.9,1830,24.9,35,0,0,0,0,0,0,53.65793743619054,31
93,M14952,M,298.9,308.9,1727,27.1,37,0,0,0,0,0,0,65.22834555662226,29
94,L47273,L,299.1,309.0,1450,43.0,40,0,0,0,0,0,0,52.27673728416527,24
95,L47274,L,299.0,308.9,1622,31.9,42,0,0,0,0,0,0,62.84127322207652,27
96,M14955,M,299.0,309.0,1351,52.2,44,0,0,0,0,0,0,51.850817508691776,23
97,M14956,M,299.0,309.0,1575,35.3,47,0,0,0,0,0,0,41.49383686733078,26
98,M14957,M,298.9,308.9,1750,29.9,50,0,0,0,0,0,0,49.114553695081774,29
99,L47278,L,298.9,308.8,1529,32.7,53,0,0,0,0,0,0,51.00379726056696,26
100,L47279,L,298.8,308.8,1523,44.4,55,0,0,0,0,0,0,49.84222827299549,26
101,L47280,L,298.8,308.9,1852,25.0,57,0,0,0,0,0,0,65.3490918307589,31
102,L47281,L,298.8,308.8,1991,20.7,59,0,0,0,0,0,0,46.345630135652904,33
103,L47282,L,298.8,308.8,1555,40.6,61,0,0,0,0,0,0,65.47568612637839,26
104,M14963,M,298.8,308.8,1441,40.5,63,0,0,0,0,0,0,60.4307635043896,24
105,L47284,L,298.8,308.7,1450,43.4,66,0,0,0,0,0,0,50.814233220516066,24
106,L47285,L,298.8,308.7,1591,31.1,68,0,0,0,0,0,0,60.471755223120525,27
107,L47286,L,298.8,308.7,1445,48.5,70,0,0,0,0,0,0,62.18200775020602,24
108,M14967,M,298.8,308.8,1497,46.8,72,0,0,0,0,0,0,68.09606291598593,25
109,H29522,H,298.9,308.8,1621,32.7,75,0,0,0,0,0,0,56.57752460823219,27
110,L47289,L,298.9,308.7,1572,34.1,80,0,0,0,0,0,0,43.20842107265389,27
111,L47290,L,298.8,308.6,1872,22.5,82,0,0,0,0,0,0,42.68094364011454,31
112,H29525,H,298.7,308.6,1499,43.5,84,0,0,0,0,0,0,53.56664754125114,25
113,M14972,M,298.8,308.7,1498,39.5,89,0,0,0,0,0,0,59.07786260838307,25
114,M14973,M,298.8,308.6,1486,41.9,92,0,0,0,0,0,0,60.069659721916544,25
115,L47294,L,298.8,308.6,1680,29.4,95,0,0,0,0,0,0,67.61642371762646,28
116,L47295,L,298.8,308.6,1431,45.7,97,0,0,0,0,0,0,67.24591434686539,24
117,L47296,L,298.9,308.7,1564,34.1,99,0,0,0,0,0,0,61.36231028511513,26
118,L47297,L,298.8,308.6,1599,33.0,101,0,0,0,0,0,0,70.11849739564893,27
119,M14978,M,298.8,308.6,1707,28.1,103,0,0,0,0,0,0,50.265168853287534,29
120,L47299,L,298.7,308.5,1467,40.7,106,0,0,0,0,0,0,46.16510675627165,25
121,L47300,L,298.9,308.7,1433,44.7,108,0,0,0,0,0,0,62.187547338218714,24
122,L47301,L,298.9,308.7,1558,41.2,110,0,0,0,0,0,0,71.86455177137641,26
123,L47302,L,299.0,308.8,1310,50.7,112,0,0,0,0,0,0,67.22390696071916,22
124,L47303,L,298.9,308.7,1546,43.4,114,0,0,0,0,0,0,66.78411224919353,26
125,L47304,L,298.9,308.7,1727,29.4,116,0,0,0,0,0,0,56.31949961481816,29
126,L47305,L,298.9,308.6,1560,32.2,118,0,0,0,0,0,0,59.12829889395185,26
127,L47306,L,299.0,308.6,1329,60.5,120,0,0,0,0,0,0,52.33275607338461,22
128,L47307,L,298.9,308.6,1413,46.5,122,0,0,0,0,0,0,49.33831529148046,24
129,L47308,L,299.0,308.6,1587,38.6,124,0,0,0,0,0,0,56.426737119638446,27
130,L47309,L,298.9,308.5,1559,34.3,126,0,0,0,0,0,0,58.68549758813202,26
131,L47310,L,298.8,308.4,1473,41.1,128,0,0,0,0,0,0,57.715015274662576,25
132,L47311,L,298.8,308.4,1737,27.7,130,0,0,0,0,0,0,63.094891918518044,29
133,M14992,M,298.7,308.4,1441,43.2,132,0,0,0,0,0,0,60.65278247153041,24
134,M14993,M,298.7,308.4,1430,49.6,135,0,0,0,0,0,0,63.37933821231388,24
135,L47314,L,298.8,308.4,1369,53.0,138,0,0,0,0,0,0,66.70741493409251,23
136,M14995,M,298.8,308.5,1711,28.5,140,0,0,0,0,0,0,54.62635023871578,29
137,H29550,H,298.7,308.5,1420,45.7,143,0,0,0,0,0,0,56.58267593011302,24
138,L47317,L,298.7,308.6,1297,55.3,148,0,0,0,0,0,0,53.557761989203044,22
139,H29552,H,298.8,308.6,1449,49.4,150,0,0,0,0,0,0,52.186283827613714,24
140,L47319,L,298.8,308.6,1268,55.8,155,0,0,0,0,0,0,55.38237228727395,21
141,L47320,L,298.8,308.6,1511,36.1,157,0,0,0,0,0,0,49.78631209649882,25
142,L47321,L,298.7,308.5,1544,35.2,159,0,0,0,0,0,0,63.1985602950208,26
143,M15002,M,298.6,308.4,1778,28.2,161,0,0,0,0,0,0,59.30350412308748,30
144,H29557,H,298.6,308.4,1407,50.5,164,0,0,0,0,0,0,47.79834291709091,24
145,M15004,M,298.6,308.4,1391,42.4,169,0,0,0,0,0,0,49.23919696145901,23
146,L47325,L,298.5,308.4,1513,33.6,172,0,0,0,0,0,0,41.99518469013127,25
147,H29560,H,298.5,308.4,1612,36.1,174,0,0,0,0,0,0,58.28268842028461,27
148,L47327,L,298.4,308.4,1515,40.1,179,0,0,0,0,0,0,43.93156086191707,25
149,M15008,M,298.3,308.3,1379,48.0,181,0,0,0,0,0,0,61.455800584854536,23
150,L47329,L,298.4,308.3,1473,39.9,184,0,0,0,0,0,0,56.42781414418637,25
151,L47330,L,298.4,308.3,1422,42.7,186,0,0,0,0,0,0,59.51221304070153,24
152,M15011,M,298.4,308.2,1463,37.6,188,0,0,0,0,0,0,41.203969360993526,25
153,M15012,M,298.4,308.2,1584,41.0,191,0,0,0,0,0,0,51.48310593973207,27
154,L47333,L,298.4,308.2,1850,27.0,194,0,0,0,0,0,0,61.71621353780166,31
155,L47334,L,298.4,308.2,1528,36.2,196,0,0,0,0,0,0,56.668555189441946,26
156,H29569,H,298.4,308.2,1987,19.8,198,0,0,0,0,0,0,47.89423935477072,33
157,M15016,M,298.4,308.1,1495,46.0,203,0,0,0,0,0,0,63.70453039049843,25
158,H29571,H,298.4,308.2,1478,43.5,206,0,0,0,0,0,0,67.9580437505127,25
159,M15018,M,298.4,308.2,1499,40.0,211,0,0,0,0,0,0,58.51926580584191,25
160,L47339,L,298.4,308.2,1471,47.0,214,0,0,0,0,0,0,59.89249292344933,25
161,L47340,L,298.4,308.2,1282,60.7,216,1,0,0,0,1,0,254.5081129168504,45
162,L47341,L,298.3,308.1,1412,52.3,218,1,0,0,0,1,0,255.20352679867108,45
163,L47342,L,298.3,308.1,1586,35.5,0,0,0,0,0,0,0,57.6009801688095,27
164,M15023,M,298.4,308.2,1468,43.8,2,0,0,0,0,0,0,56.781556474997736,25
165,M15024,M,298.5,308.3,1440,43.6,5,0,0,0,0,0,0,58.12522697732367,24
166,L47345,L,298.5,308.4,1733,26.0,8,0,0,0,0,0,0,61.77814119709096,29
167,H29580,H,298.4,308.2,1612,32.6,10,0,0,0,0,0,0,53.37170260699094,27
168,H29581,H,298.4,308.3,1458,42.9,15,0,0,0,0,0,0,37.31102419566609,25
169,L47348,L,298.4,308.3,1433,62.3,20,1,0,0,1,0,0,254.76564606922403,45
170,L47349,L,298.4,308.3,1318,59.1,22,0,0,0,0,0,0,66.3100529964792,22
171,M15030,M,298.4,308.2,1610,35.0,24,0,0,0,0,0,0,62.15904664335113,27
172,L47351,L,298.2,308.1,1462,50.8,27,0,0,0,0,0,0,41.55296671008758,25
173,M15032,M,298.1,308.0,1924,20.8,29,0,0,0,0,0,0,54.59957469112082,32
174,M15033,M,298.2,308.0,1591,33.7,32,0,0,0,0,0,0,62.70577188461035,27
175,L47354,L,298.2,308.1,1306,58.3,35,0,0,0,0,0,0,65.86491814315005,22
176,L47355,L,298.2,308.1,1382,43.5,37,0,0,0,0,0,0,53.530268188979505,23
177,L47356,L,298.2,308.1,1618,34.7,39,0,0,0,0,0,0,61.88556300309561,27
178,L47357,L,298.2,308.2,1988,21.4,41,0,0,0,0,0,0,56.01274837410715,33
179,L47358,L,298.2,308.2,1436,50.2,43,0,0,0,0,0,0,61.64817619370786,24
180,L47359,L,298.2,308.3,1304,49.8,45,0,0,0,0,0,0,61.10506553134674,22
181,L47360,L,298.2,308.3,1475,49.9,47,0,0,0,0,0,0,56.099995224984546,25
182,H29595,H,298.2,308.3,1824,24.2,49,0,0,0,0,0,0,47.70129146005516,31
183,M15042,M,298.1,308.2,1342,48.1,54,0,0,0,0,0,0,47.66816336420082,23
184,L47363,L,298.1,308.2,1485,40.7,57,0,0,0,0,0,0,65.96514112287585,25
185,L47364,L,298.2,308.2,1667,30.6,59,0,0,0,0,0,0,68.6128091877626,28
186,L47365,L,298.2,308.2,1446,38.2,61,0,0,0,0,0,0,54.31908523465309,24
187,L47366,L,298.1,308.3,1301,56.0,63,0,0,0,0,0,0,60.34105849060045,22
188,L47367,L,298.2,308.4,1379,43.1,65,0,0,0,0,0,0,57.22841730735001,23
189,L47368,L,298.3,308.5,1606,33.6,67,0,0,0,0,0,0,71.30843932683378,27
190,M15049,M,298.3,308.4,1539,43.4,69,0,0,0,0,0,0,59.279663697089866,26
191,L47370,L,298.2,308.4,1477,49.9,72,0,0,0,0,0,0,64.15011204402107,25
192,L47371,L,298.2,308.4,1666,34.6,74,0,0,0,0,0,0,61.70030078480552,28
193,H29606,H,298.2,308.4,1398,51.8,76,0,0,0,0,0,0,40.81061527221759,23
194,H29607,H,298.2,308.4,1678,34.6,81,0,0,0,0,0,0,55.577279964232595,28
195,M15054,M,298.2,308.5,2678,10.7,86,1,0,0,1,0,0,287.12048011799385,45
196,L47375,L,298.3,308.5,1453,42.9,89,0,0,0,0,0,0,50.20104141804833,24
197,H29610,H,298.3,308.6,1432,49.5,91,0,0,0,0,0,0,58.39301857108077,24
198,M15057,M,298.4,308.6,1527,40.9,96,0,0,0,0,0,0,56.23130373399346,26
199,L47378,L,298.4,308.7,1588,35.0,99,0,0,0,0,0,0,48.74383783478811,27
200,L47379,L,298.4,308.6,1433,47.1,101,0,0,0,0,0,0,72.23291911284949,24
201,L47380,L,298.4,308.6,1609,35.0,103,0,0,0,0,0,0,61.655276865051896,27
202,L47381,L,298.3,308.5,1575,41.2,105,0,0,0,0,0,0,50.104170860016715,26
203,M15062,M,298.4,308.5,1636,35.7,107,0,0,0,0,0,0,43.01476951674046,27
204,L47383,L,298.4,308.5,1490,37.9,110,0,0,0,0,0,0,63.57652321273424,25
205,L47384,L,298.4,308.5,1741,32.8,112,0,0,0,0,0,0,58.43154971077825,29
206,M15065,M,298.5,308.6,1344,53.0,114,0,0,0,0,0,0,47.71464966668486,23
207,L47386,L,298.5,308.7,1609,35.3,117,0,0,0,0,0,0,63.85716672928628,27
208,M15067,M,298.4,308.7,1421,60.7,119,1,0,0,1,0,0,255.40915798246584,45
209,L47388,L,298.4,308.6,1591,36.7,122,0,0,0,0,0,0,56.99414531591343,27
210,L47389,L,298.4,308.6,1477,44.0,124,0,0,0,0,0,0,56.87126828393548,25
211,L47390,L,298.4,308.7,1523,36.1,126,0,0,0,0,0,0,45.81994548914093,26
212,L47391,L,298.5,308.7,1575,33.9,128,0,0,0,0,0,0,39.1057472195955,26
213,H29626,H,298.4,308.7,1344,52.9,130,0,0,0,0,0,0,47.316536760307386,23
214,L47393,L,298.4,308.7,1386,44.9,135,0,0,0,0,0,0,53.43751037752816,23
215,M15074,M,298.3,308.6,1589,37.1,137,0,0,0,0,0,0,54.14195483522062,27
216,L47395,L,298.3,308.6,1548,40.3,140,0,0,0,0,0,0,64.42740136867732,26
217,L47396,L,298.3,308.6,1499,38.3,142,0,0,0,0,0,0,56.49550111858197,25
218,L47397,L,298.3,308.5,1664,31.6,144,0,0,0,0,0,0,63.24588570361742,28
219,L47398,L,298.3,308.6,1447,38.1,146,0,0,0,0,0,0,53.46651698341532,24
220,M15079,M,298.3,308.5,1434,46.2,148,0,0,0,0,0,0,57.67077514859415,24
221,L47400,L,298.3,308.5,1416,52.7,151,0,0,0,0,0,0,57.250833661425325,24
222,H29635,H,298.4,308.5,1827,24.3,153,0,0,0,0,0,0,51.79968200699615,31
223,L47402,L,298.4,308.6,1304,45.0,158,0,0,0,0,0,0,60.64372814546165,22
224,L47403,L,298.4,308.6,1569,34.4,160,0,0,0,0,0,0,54.91540710735537,26
225,L47404,L,298.3,308.6,1584,29.3,162,0,0,0,0,0,0,47.201136579950855,27
226,L47405,L,298.3,308.5,1362,53.8,164,0,0,0,0,0,0,70.43162601367953,23
227,L47406,L,298.3,308.4,1329,49.2,166,0,0,0,0,0,0,54.574751284753475,22
228,L47407,L,298.3,308.5,1539,36.1,168,0,0,0,0,0,0,65.70802580205998,26
229,M15088,M,298.3,308.5,1629,37.1,170,0,0,0,0,0,0,48.15691590696227,27
230,L47409,L,298.3,308.5,1538,32.2,173,0,0,0,0,0,0,60.31493365181889,26
231,L47410,L,298.3,308.6,1570,34.8,175,0,0,0,0,0,0,47.819592521581555,26
232,L47411,L,298.3,308.4,1408,43.1,177,0,0,0,0,0,0,55.10022895172951,24
233,L47412,L,298.2,308.4,1424,47.6,179,0,0,0,0,0,0,64.53620741115918,24
234,L47413,L,298.2,308.4,1512,34.9,181,0,0,0,0,0,0,53.46870161646191,25
235,L47414,L,298.2,308.4,1478,42.9,183,0,0,0,0,0,0,60.57148068974192,25
236,M15095,M,298.1,308.3,1680,33.7,185,0,0,0,0,0,0,62.26059227794308,28
237,L47416,L,298.1,308.3,1495,38.7,188,0,0,0,0,0,0,62.54349766071242,25
238,M15097,M,298.0,308.1,1552,36.6,190,0,0,0,0,0,0,60.14204229994275,26
239,L47418,L,297.9,308.1,1393,50.3,193,0,0,0,0,0,0,60.9730977416028,23
240,L47419,L,298.0,308.2,1611,30.6,195,0,0,0,0,0,0,56.2014706834902,27
241,M15100,M,298.0,308.1,1339,51.6,197,0,0,0,0,0,0,40.89367997248249,23
242,L47421,L,298.0,308.1,1777,24.3,200,0,0,0,0,0,0,62.88138024761957,30
243,L47422,L,298.0,308.2,1348,58.8,202,1,0,0,0,1,0,254.9444682098729,45
244,L47423,L,298.0,308.2,1442,44.1,204,0,0,0,0,0,0,52.111961374020986,24
245,M15104,M,298.0,308.2,1395,49.1,206,0,0,0,0,0,0,48.49402905449542,23
246,M15105,M,297.9,308.1,1627,31.4,209,0,0,0,0,0,0,55.8739906053887,27
247,L47426,L,297.9,308.1,1585,33.5,212,0,0,0,0,0,0,44.89695736835849,27
248,L47427,L,298.0,308.2,1469,45.5,214,0,0,0,0,0,0,57.9511018246853,25
249,L47428,L,298.0,308.3,1362,56.8,216,1,0,0,0,1,0,255.402849174446,45
250,L47429,L,298.0,308.3,1405,56.2,218,1,0,0,0,1,0,254.71301802020687,45
251,L47430,L,298.0,308.3,1662,32.7,0,0,0,0,0,0,0,66.61500191763173,28
252,M15111,M,298.0,308.2,1466,42.6,2,0,0,0,0,0,0,48.87097061103921,25
253,L47432,L,298.0,308.2,1620,35.8,5,0,0,0,0,0,0,63.44437101982572,27
254,L47433,L,298.0,308.2,1357,48.2,7,0,0,0,0,0,0,54.910042151275725,23
255,L47434,L,298.0,308.2,1514,37.9,9,0,0,0,0,0,0,47.41883186310791,25
256,L47435,L,298.0,308.2,1489,40.4,11,0,0,0,0,0,0,63.35754475675996,25
257,L47436,L,298.1,308.3,1331,63.0,13,0,0,0,0,0,0,52.707125048922116,22
258,L47437,L,298.0,308.0,1615,29.5,15,0,0,0,0,0,0,65.67726942072771,27
259,L47438,L,298.1,308.2,1482,37.9,17,0,0,0,0,0,0,63.76261275033591,25
260,M15119,M,298.1,308.2,1420,63.9,19,1,0,0,1,0,0,255.4183396932841,45
261,M15120,M,298.2,308.3,1522,49.1,22,0,0,0,0,0,0,41.8792594181182,26
262,L47441,L,298.1,308.2,1654,32.1,25,0,0,0,0,0,0,59.95534759489798,28
263,M15122,M,298.1,308.2,1736,26.8,27,0,0,0,0,0,0,65.27416296072707,29
264,M15123,M,298.0,308.1,1587,32.3,30,0,0,0,0,0,0,51.194639829102904,27
265,L47444,L,298.1,308.2,1390,47.5,33,0,0,0,0,0,0,55.36439067870874,23
266,L47445,L,298.0,308.1,1454,37.1,35,0,0,0,0,0,0,47.5801905274929,24
267,H29680,H,298.0,308.1,1440,43.7,37,0,0,0,0,0,0,62.24231143867663,24
268,L47447,L,297.9,308.0,1954,21.1,42,0,0,0,0,0,0,49.668103965639474,33
269,H29682,H,297.9,308.0,1800,24.8,44,0,0,0,0,0,0,63.068510891971066,30
270,L47449,L,298.0,308.0,1524,37.0,49,0,0,0,0,0,0,46.324804081144634,26
271,H29684,H,298.0,308.0,1520,39.6,51,0,0,0,0,0,0,43.245019885616514,26
272,M15131,M,298.1,308.1,1452,40.8,56,0,0,0,0,0,0,50.573748610596176,24
273,L47452,L,298.1,308.1,1484,40.4,59,0,0,0,0,0,0,56.72154453986202,25
274,L47453,L,298.1,308.0,1426,46.0,61,0,0,0,0,0,0,63.11177115464908,24
275,L47454,L,298.1,308.0,1652,28.5,63,0,0,0,0,0,0,55.77141449846049,28
276,L47455,L,298.0,308.0,1401,54.7,65,0,0,0,0,0,0,40.82491434017504,24
277,M15136,M,298.0,307.9,1750,26.6,67,0,0,0,0,0,0,46.79851143872403,29
278,H29691,H,298.0,308.0,1479,50.7,70,0,0,0,0,0,0,54.497126952677554,25
279,M15138,M,298.0,308.0,1620,29.4,75,0,0,0,0,0,0,54.208315781852406,27
280,L47459,L,298.0,308.1,1819,23.4,78,0,0,0,0,0,0,46.401870202767675,31
281,M15140,M,298.1,308.1,1456,43.7,80,0,0,0,0,0,0,42.59299224042175,24
282,L47461,L,298.1,308.0,1626,36.5,83,0,0,0,0,0,0,58.5534055979591,27
283,M15142,M,298.1,308.1,1390,49.8,85,0,0,0,0,0,0,47.534439529890264,23
284,L47463,L,298.2,308.2,1469,43.0,88,0,0,0,0,0,0,54.02960541819051,25
285,L47464,L,298.2,308.3,2051,19.2,90,0,0,0,0,0,0,40.70884160198063,34
286,L47465,L,298.2,308.3,1568,36.0,92,0,0,0,0,0,0,47.00985432227757,26
287,L47466,L,298.2,308.3,1589,33.2,94,0,0,0,0,0,0,51.80136820177207,27
288,L47467,L,298.2,308.3,1805,31.6,96,0,0,0,0,0,0,53.41151339840265,30
289,H29702,H,298.2,308.4,1385,42.2,98,0,0,0,0,0,0,65.09845901719359,23
290,L47469,L,298.1,308.4,1436,46.7,103,0,0,0,0,0,0,63.15340070443784,24
291,L47470,L,298.1,308.4,1438,45.6,105,0,0,0,0,0,0,65.00314883678247,24
292,L47471,L,298.0,308.3,1473,42.6,107,0,0,0,0,0,0,59.364472560001744,25
293,L47472,L,298.1,308.4,1335,40.2,109,0,0,0,0,0,0,42.635243354675055,22
